"","Duration (in seconds)","DistributionChannel","Consent","(att)g4q1_1_honest living","(att)g4q1_2_next door","(att)g4q1_3_rehabilitate","(att)g4q1_4_productivelives","(att)g4q1_5_immoral","(att)g4q1_6_circumstance","(att)g4q1_7_trust","(att)g4q1_8_guard","(att)g4q1_9_parole","(control)g4q2_felonsvote","g4q3_white_lowc_noitd","g4q4_nowhite_lowc_noitd","g4q5_white_medc_noitd","g4q6_nowhite_medc_noitd","g4q7_white_highc_noitd","g4q8_nowhite_highc_noitd","g4q9_white_lowc_itd","g4q10_nowhite_lowc_itd","g4q11_white_medc_itd","g4q12_nowhite_medc_itd","g4q13_white_highc_itd","g4q14_nowhite_highc_itd","age","gender","hhi","ethnicity","hispanic","education","political_party","zip","region","g4_DO","g4jail1_youincar","g4jail2_famfrdincar","g4_IV"
"70","833","anonymous","I agree","Disagree","Disagree","Disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Agree","Disagree",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38","Female","$85,000 to $89,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Not very strong Democrat","65401","Midwest","g4q1|g4q2|g4q4","No","Yes",2
"71","991","anonymous","I agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Disagree","Strongly disagree","Strongly agree","Agree",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"36","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent - neither","70517","South","g4q1|g4q2|g4q8","No","Yes",6
"72","520","anonymous","I agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"46","Female","$45,000 to $49,999","White","Yes, Mexican, Mexican American, Chicano","Associate's degree","Strong Democrat","77078","South","g4q1|g4q2|g4q12","No","No",10
"73","644","anonymous","I agree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Disagree","Agree","Agree",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"65","Male","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Strong Democrat","81091","West","g4q1|g4q2|g4q6","No","No",4
"74","1024","anonymous","I agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"61","Female","$25,000 to $29,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Democrat","88061","West","g4q1|g4q2|g4q10","No","No",8
"75","1044","anonymous","I agree","Disagree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"18","Female","Less than $14,999","Some other race","Yes, another Hispanic, Latino, or Spanish origin *** Other Country","Associate's degree","Not very strong Democrat","75212","South","g4q1|g4q2|g4q8","No","No",6
"76","813","anonymous","I agree","Agree","Disagree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Strongly agree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","18","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","25511","South","g4q1|g4q2|g4q14","No","Yes",12
"77","457","anonymous","I agree","Agree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Disagree","Strongly agree","Agree","Strongly agree",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","Male","$70,000 to $74,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent Democrat","44820","Midwest","g4q1|g4q2|g4q5","No","No",3
"78","352","anonymous","I agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","26","Male","$40,000 to $44,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Strong Democrat","70122","South","g4q1|g4q2|g4q14","No","No",12
"79","1159","anonymous","I agree","Agree","Strongly disagree","Agree","Disagree","Agree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Disagree",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"60","Female","$60,000 to $64,999","White","No , not of Hispanic, Latino, or Spanish origin","Other post high school vocational training","Strong Republican","06776","Northeast","g4q1|g4q2|g4q6","No","No",4
"80","231","anonymous","I agree","Disagree","Strongly disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"22","Male","$15,000 to $19,999","Asian *** Filipino","No , not of Hispanic, Latino, or Spanish origin","Some high school or less","Independent Democrat","03038","Northeast","g4q1|g4q2|g4q13","No","Yes",11
"81","1032","anonymous","I agree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Agree","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","Female","$50,000 to $54,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Democrat","18704","Northeast","g4q1|g4q2|g4q3","No","Yes",1
"82","283","anonymous","I agree","Strongly disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Strongly agree",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"18","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Strong Democrat","44115","Midwest","g4q1|g4q2|g4q8","No","No",6
"83","1606","anonymous","I agree","Agree","Strongly disagree","Disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Agree","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"67","Female","$35,000 to $39,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","73003","South","g4q1|g4q2|g4q10","No","No",8
"84","1087","anonymous","I agree","Agree","Disagree","Disagree","Agree","Strongly disagree","Strongly disagree","Agree","Agree","Agree","Agree",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"44","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Republican","17533","Northeast","g4q1|g4q2|g4q6","No","No",4
"85","1068","anonymous","I agree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Agree","Agree","Agree","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent - neither","25901","South","g4q1|g4q2|g4q3","No","Yes",1
"86","253","anonymous","I agree","Disagree","Agree","Agree","Disagree","Agree","Strongly agree","Disagree","Disagree","Agree","Agree","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38","Male","$60,000 to $64,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Other - leaning Republican","29412","South","g4q1|g4q2|g4q3","No","No",1
"87","994","anonymous","I agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Agree",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"42","Female","$30,000 to $34,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Other - neither","61846","Midwest","g4q1|g4q2|g4q5","No","No",3
"88","503","anonymous","I agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"42","Female","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Other - neither","75446","South","g4q1|g4q2|g4q10","No","No",8
"89","475","anonymous","I agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Strongly disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"20","Male","$20,000 to $24,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Not very strong Democrat","80027","West","g4q1|g4q2|g4q12","No","No",10
"90","1203","anonymous","I agree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"61","Male","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","92545","West","g4q1|g4q2|g4q7","Yes","Yes",5
"91","1240","anonymous","I agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","79","Female","$65,000 to $69,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Other post high school vocational training","Strong Democrat","10566","Northeast","g4q1|g4q2|g4q14","No","Yes",12
"92","395","anonymous","I agree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Disagree","Strongly agree","Strongly agree",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"45","Male","$15,000 to $19,999","Asian *** Korean","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Democrat","33612","South","g4q1|g4q2|g4q7","No","No",5
"93","1115","anonymous","I agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"73","Male","$70,000 to $74,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Independent Democrat","53402","Midwest","g4q1|g4q2|g4q9","No","No",7
"94","379","anonymous","I agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"36","Male","$60,000 to $64,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Strong Democrat","48082","Midwest","g4q1|g4q2|g4q13","No","No",11
"95","256","anonymous","I agree","Agree","Disagree","Disagree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Disagree","Disagree","Strongly agree",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","Male","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Strong Democrat","33187","South","g4q1|g4q2|g4q4","Yes","Yes",2
"96","639","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Strongly agree","Disagree","Agree","Agree","Agree",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"58","Female","$15,000 to $19,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent Republican","78213","South","g4q1|g4q2|g4q6","No","No",4
"97","1735","anonymous","I agree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"48","Female","$55,000 to $59,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Independent - neither","28655","South","g4q1|g4q2|g4q13","No","No",11
"98","719","anonymous","I agree","Strongly disagree","Disagree","Disagree","Agree","Strongly disagree","Agree","Disagree","Disagree","Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"28","Male","$80,000 to $84,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent Democrat","15024","Northeast","g4q1|g4q2|g4q10","No","No",8
"99","607","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"50","Female","$55,000 to $59,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Not very strong Republican","86314","West","g4q1|g4q2|g4q7","No","No",5
"100","515","anonymous","I agree","Agree","Disagree","Strongly disagree","Agree","Disagree","Disagree","Strongly disagree","Agree","Strongly agree","Strongly agree","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","Male","$100,000 to $124,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Not very strong Republican","92780","West","g4q1|g4q2|g4q3","Yes","Yes",1
"101","242","anonymous","I agree","Agree","Strongly agree","Disagree","Disagree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Agree",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"21","Female","$15,000 to $19,999","White","No , not of Hispanic, Latino, or Spanish origin","Some high school or less","Not very strong Democrat","19124","Northeast","g4q1|g4q2|g4q6","No","Yes",4
"102","565","anonymous","I agree","Strongly agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"36","Male","$90,000 to $94,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Republican","29650","South","g4q1|g4q2|g4q10","No","No",8
"103","602","anonymous","I agree","Disagree","Agree","Strongly disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","Male","$65,000 to $69,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent Democrat","36608","South","g4q1|g4q2|g4q5","No","No",3
"104","1383","anonymous","I agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","Male","$25,000 to $29,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent - neither","98801","West","g4q1|g4q2|g4q4","No","No",2
"105","245","anonymous","I agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"31","Male","Less than $14,999","Some other race","Yes, another Hispanic, Latino, or Spanish origin *** Spain","Completed some college, but no degree","Independent - neither","92105","West","g4q1|g4q2|g4q8","No","No",6
"106","665","anonymous","I agree","Agree","Agree","Disagree","Strongly agree","Strongly disagree","Agree","Disagree","Strongly agree","Strongly agree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"56","Male","$55,000 to $59,999","Some other race","Yes, Mexican, Mexican American, Chicano","Associate's degree","Not very strong Democrat","92545","West","g4q1|g4q2|g4q11","No","Yes",9
"107","200","anonymous","I agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Disagree","Agree",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","Male","$95,000 to $99,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Democrat","91311","West","g4q1|g4q2|g4q5","No","No",3
"108","581","anonymous","I agree","Agree","Disagree","Disagree","Agree","Strongly disagree","Strongly disagree","Disagree","Agree","Strongly disagree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"53","Female","$250,000 and above","White","No , not of Hispanic, Latino, or Spanish origin","Doctorate degree","Strong Republican","06518","Northeast","g4q1|g4q2|g4q10","Yes","Yes",8
"109","443","anonymous","I agree","Disagree","Agree","Strongly disagree","Agree","Strongly disagree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"22","Male","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Strong Democrat","30344","South","g4q1|g4q2|g4q10","No","Yes",8
"110","851","anonymous","I agree","Agree","Strongly disagree","Agree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","75","Female","$40,000 to $44,999","White","No , not of Hispanic, Latino, or Spanish origin","Other post high school vocational training","Not very strong Democrat","15209","Northeast","g4q1|g4q2|g4q14","No","No",12
"111","367","anonymous","I agree","Agree","Disagree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Disagree","Strongly agree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"38","Male","$95,000 to $99,999","Asian *** Other","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Strong Democrat","91602","West","g4q1|g4q2|g4q12","No","No",10
"112","580","anonymous","I agree","Disagree","Agree","Strongly disagree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","Male","$20,000 to $24,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent - neither","39421","South","g4q1|g4q2|g4q3","No","Yes",1
"113","590","anonymous","I agree","Agree","Disagree","Strongly agree","Agree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"45","Male","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Not very strong Democrat","68355","Midwest","g4q1|g4q2|g4q11","No","No",9
"114","1701","anonymous","I agree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Disagree","Agree","Agree","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","Female","$35,000 to $39,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Other - leaning Republican","59840","West","g4q1|g4q2|g4q3","No","Yes",1
"115","1538","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Strongly disagree","Agree","Disagree","Agree","Agree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","76","Female","$20,000 to $24,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Republican","55008","Midwest","g4q1|g4q2|g4q14","No","No",12
"116","773","anonymous","I agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly disagree","Agree","Agree","Disagree","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","Male","$30,000 to $34,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Republican","45014","Midwest","g4q1|g4q2|g4q3","No","Yes",1
"117","683","anonymous","I agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","64","Male","$150,000 to $174,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent - neither","78665","South","g4q1|g4q2|g4q14","No","No",12
"118","762","anonymous","I agree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"62","Male","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","92025","West","g4q1|g4q2|g4q9","No","No",7
"119","375","anonymous","I agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","Female","$55,000 to $59,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Strong Republican","63901","Midwest","g4q1|g4q2|g4q4","No","No",2
"120","721","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"56","Male","$100,000 to $124,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Republican","13041","Northeast","g4q1|g4q2|g4q10","No","No",8
"121","611","anonymous","I agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Agree","Strongly agree",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"31","Male","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Independent Democrat","83301","West","g4q1|g4q2|g4q9","No","No",7
"122","447","anonymous","I agree","Disagree","Agree","Disagree","Strongly agree","Strongly disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","Male","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Strong Republican","97370","West","g4q1|g4q2|g4q5","No","No",3
"123","830","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"43","Male","$150,000 to $174,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Independent Republican","02839","Northeast","g4q1|g4q2|g4q10","No","No",8
"124","762","anonymous","I agree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55","Male","$80,000 to $84,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent Democrat","52776","Midwest","g4q1|g4q2|g4q5","No","No",3
"125","913","anonymous","I agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Strongly disagree",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"49","Male","$100,000 to $124,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent Republican","25508","South","g4q1|g4q2|g4q8","No","Yes",6
"126","640","anonymous","I agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Agree","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"52","Male","$30,000 to $34,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Independent Republican","33983","South","g4q1|g4q2|g4q11","No","No",9
"127","880","anonymous","I agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","Male","$55,000 to $59,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Democrat","76112","South","g4q1|g4q2|g4q3","No","Yes",1
"128","1153","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"48","Male","$75,000 to $79,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Strong Republican","65452","Midwest","g4q1|g4q2|g4q13","No","No",11
"129","570","anonymous","I agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","61","Female","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Independent Republican","64624","Midwest","g4q1|g4q2|g4q14","No","Yes",12
"130","427","anonymous","I agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"47","Male","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","97524","West","g4q1|g4q2|g4q11","No","No",9
"131","410","anonymous","I agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"25","Male","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent - neither","99504","West","g4q1|g4q2|g4q7","No","Yes",5
"132","986","anonymous","I agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","Male","$30,000 to $34,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent - neither","32117","South","g4q1|g4q2|g4q4","No","Yes",2
"133","930","anonymous","I agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"65","Female","$20,000 to $24,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Republican","32605","South","g4q1|g4q2|g4q8","No","No",6
"134","1245","anonymous","I agree","Agree","Disagree","Disagree","Strongly agree","Disagree","Agree","Agree","Disagree","Agree","Disagree",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"78","Female","$80,000 to $84,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Not very strong Republican","86409","West","g4q1|g4q2|g4q9","No","No",7
"135","733","anonymous","I agree","Agree","Agree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"32","Male","$95,000 to $99,999","White","No , not of Hispanic, Latino, or Spanish origin","Other post high school vocational training","Independent Republican","06801","Northeast","g4q1|g4q2|g4q13","No","No",11
"136","651","anonymous","I agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"28","Male","$20,000 to $24,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Strong Democrat","03824","Northeast","g4q1|g4q2|g4q12","No","No",10
"137","1264","anonymous","I agree","Agree","Strongly disagree","Agree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Disagree",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","Male","$75,000 to $79,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent Republican","80249","West","g4q1|g4q2|g4q4","No","No",2
"138","345","anonymous","I agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"44","Female","$25,000 to $29,999","Some other race","Yes, Mexican, Mexican American, Chicano","Some high school or less","Strong Democrat","89030","West","g4q1|g4q2|g4q7","No","Yes",5
"139","622","anonymous","I agree","Agree","Disagree","Disagree","Strongly agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"24","Female","$35,000 to $39,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Not very strong Republican","80205","West","g4q1|g4q2|g4q8","No","No",6
"140","498","anonymous","I agree","Agree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"30","Female","$60,000 to $64,999","Some other race","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent - neither","13021","Northeast","g4q1|g4q2|g4q13","No","Yes",11
